gene,diplotype,genetic_phenotype,I_over_Ki,time_h,depot_nmol,parent_nmol,metabolite_nmol,eliminated_nmol_equivalent,parent_AUC_nM_h,metabolite_AUC_nM_h,doses_received
CYP2C19,*1/*1,NM,100.0,156.25,0.004785117392309657,843.1992117669498,8.889227932776802,6147.906775182865,2456.1260419486107,36.686620414011536,7
CYP2C19,*1/*1,NM,100.0,156.5,0.0037266531722193598,834.479582207388,8.859184674481327,6156.657506464942,2460.3202012565584,36.760573356236065,7
CYP2C19,*1/*1,NM,100.0,156.75,0.0029023204087599724,825.8499347541868,8.827423353836217,6165.319739571552,2464.4709877410396,36.834268719814865,7
CYP2C19,*1/*1,NM,100.0,157.0,0.0022603294070663864,817.3093825792587,8.794028195996317,6173.894328895322,2468.578849096255,36.90769254064459,7
CYP2C19,*1/*1,NM,100.0,157.25,0.001760346312222626,808.8570383413308,8.759080388399864,6182.382120923941,2472.6442285799662,36.98083154377081,7
CYP2C19,*1/*1,NM,100.0,157.5,0.001370959086435841,800.4920163335512,8.722658180547786,6190.783954526799,2476.6675650165334,37.05367311849133,7
CYP2C19,*1/*1,NM,100.0,157.75,0.0010677040100750908,792.2134341350086,8.684836981100105,6199.100661179866,2480.649292809396,37.126205294279785,7
CYP2C19,*1/*1,NM,100.0,158.0,0.0008315287191349598,784.0204138761185,8.645689452240779,6207.333065142906,2484.5898419608084,37.198416717507094,7
CYP2C19,*1/*1,NM,100.0,158.25,0.000647595217608669,775.9120832035028,8.605285601294149,6215.48198359997,2488.4896380971195,37.270296628937785,7
CYP2C19,*1/*1,NM,100.0,158.5,0.0005043476625869283,767.887576011047,8.563692869600366,6223.548226771673,2492.3491024982654,37.34183484197839,7
CYP2C19,*1/*1,NM,100.0,158.75,0.00039278635456293246,759.9460329890693,8.520976218675255,6231.532598005884,2496.1686521304464,37.41302172165511,7
CYP2C19,*1/*1,NM,100.0,159.0,0.0003059023205133743,752.0866020320418,8.477198213693555,6239.435893851927,2499.94869968118,37.4838481642983,7
CYP2C19,*1/*1,NM,100.0,159.25,0.00023823696675917577,744.3084385363591,8.43241910434437,6247.258904122313,2503.689653596107,37.55430557791166,7
CYP2C19,*1/*1,NM,100.0,159.5,0.00018553913626860233,736.610705612681,8.386696903114705,6255.002411945051,2507.3919181170604,37.62438586320448,7
CYP2C19,*1/*1,NM,100.0,159.75,0.00014449802461637958,728.992574231947,8.340087461061886,6262.667193808949,2511.05589332103,37.69408139526572,7
CYP2C19,*1/*1,NM,100.0,160.0,0.00011253517472350756,721.4532233199329,8.292644541138992,6270.254019603736,2514.681975159716,37.76338500585929,7
CYP2C19,*1/*1,NM,100.0,160.25,8.764248219774506e-05,713.991839811935,8.244419889139323,6277.7636526564265,2518.270555499456,37.83228996632044,7
CYP2C19,*1/*1,NM,100.0,160.5,6.825603376592551e-05,706.6076186765913,8.195463302327038,6285.1968497650305,2521.8220221613433,37.9007899710336,7
CYP2C19,*1/*1,NM,100.0,160.75,5.315785254625104e-05,699.2997629158658,8.145822695821344,6292.554361230443,2525.336758961401,37.968879121472824,7
CYP2C19,*1/*1,NM,100.0,161.0,4.1399377189414584e-05,692.0674835466582,8.095544166801345,6299.836930887146,2528.8151457507106,38.0365519107862,7
CYP2C19,*1/*1,NM,100.0,161.25,3.224186737378454e-05,684.9099995682934,8.044672056597953,6307.045296133224,2532.257558455411,38.103803208906555,7
CYP2C19,*1/*1,NM,100.0,161.5,2.510999155838778e-05,677.8265379192039,7.9932490107383085,6314.180187960049,2535.664369116504,38.170628248170964,7
CYP2C19,*1/*1,NM,100.0,161.75,1.9555681088588768e-05,670.8163334253802,7.941316037006838,6321.242330981915,2539.035945929427,38.23702260943231,7
