alpha,Kd_E_nM,Kd_T_nM,peak_EPT_nM,optimal_total_P_nM
10.0,12.589254117941675,0.3981071705534973,87.62897409573539,102.23872113856834
10.0,15.848931924611142,0.3981071705534973,86.44029751761956,102.51188643150958
10.0,19.952623149688808,0.3981071705534973,85.12645495147724,102.81838293126445
10.0,25.11886431509582,0.3981071705534973,83.67699958542042,103.16227766016837
10.0,31.622776601683793,0.3981071705534973,82.0813287926414,103.54813389233576
10.0,39.810717055349734,0.3981071705534973,80.32890206046395,103.98107170553497
10.0,50.11872336272725,0.3981071705534973,78.40952592602532,104.46683592150964
10.0,63.095734448019364,0.3981071705534973,76.31371654100377,105.01187233627272
10.0,79.43282347242821,0.3981071705534973,74.03314956212269,105.62341325190349
10.0,100.0,0.3981071705534973,71.56120459545538,106.30957344480193
10.0,125.89254117941675,0.3981071705534973,68.89360672012428,107.07945784384138
10.0,158.48931924611142,0.3981071705534973,66.0291598596792,107.94328234724281
10.0,199.52623149688807,0.3981071705534973,62.97055508536906,108.91250938133746
10.0,251.18864315095823,0.3981071705534973,59.725220583471305,110.0
10.0,316.22776601683796,0.3981071705534973,56.306158723278436,111.22018454301964
10.0,398.1071705534973,0.3981071705534973,52.7326901485062,112.58925411794166
10.0,501.18723362727246,0.3981071705534973,49.03099754607112,114.12537544622755
10.0,630.9573444801937,0.3981071705534973,45.23433774842344,115.84893192461115
10.0,794.3282347242822,0.3981071705534973,41.38277826546733,117.78279410038922
10.0,1000.0,0.3981071705534973,37.5223242167928,119.9526231496888
10.0,0.1,0.5011872336272724,96.81330081277223,100.22387211385683
10.0,0.12589254117941673,0.5011872336272724,96.69525881729123,100.25118864315095
10.0,0.15848931924611134,0.5011872336272724,96.56298629037163,100.28183829312644
10.0,0.19952623149688797,0.5011872336272724,96.41479134924815,100.31622776601684
10.0,0.251188643150958,0.5011872336272724,96.24878709878301,100.35481338923357
10.0,0.31622776601683794,0.5011872336272724,96.06287075638501,100.3981071705535
10.0,0.3981071705534973,0.5011872336272724,95.8547009697258,100.44668359215096
10.0,0.5011872336272724,0.5011872336272724,95.6216732916846,100.50118723362728
10.0,0.6309573444801934,0.5011872336272724,95.3608938177609,100.56234132519035
10.0,0.7943282347242815,0.5011872336272724,95.06915104754728,100.6309573444802
10.0,1.0,0.5011872336272724,94.7428861079183,100.70794578438414
10.0,1.2589254117941675,0.5011872336272724,94.37816157644659,100.79432823472428
10.0,1.584893192461114,0.5011872336272724,93.97062927532428,100.89125093813375
