scenario,time_h,radius_um,extracellular_nm,neighbor_intracellular_nm,hypothetical_neighbor_survival,neighbor_cell_volume_um3
High permeability,1.5,131.25,2.9097669063449786e-08,1.1170615267666642e-09,0.9999999999997853,378843.3490994541
High permeability,1.5,133.75,2.0504560088286118e-08,7.8162970950381e-10,0.9999999999998507,393412.48503047676
High permeability,1.5,136.25,1.4436603265580435e-08,5.465185096117025e-10,0.9999999999998963,408256.5103186885
High permeability,1.5,138.75,1.0155583456652625e-08,3.8184765870379443e-10,0.999999999999928,423375.4249640894
High permeability,1.5,141.25,7.137944135355318e-09,2.6659904192351603e-10,0.99999999999995,438769.2289666794
High permeability,1.5,143.75,5.012715364254107e-09,1.8599965380349006e-10,0.9999999999999654,454437.9223264585
High permeability,1.5,146.25,3.5172877554121026e-09,1.2967397333821419e-10,0.999999999999976,470381.5050434267
High permeability,1.5,148.75,2.465932028635906e-09,9.034055820693039e-11,0.9999999999999833,486599.977117584
High permeability,1.5,151.25,1.7274126036160227e-09,6.289327487280697e-11,0.9999999999999885,503093.3385489304
High permeability,1.5,153.75,1.2090834819274418e-09,4.375416493847409e-11,0.999999999999992,519861.58933746594
