id,initial_drug_M,time_s,E_free_M,EI_M,covalent_M,free_drug_M,GSH_adduct_M,cleared_drug_M
W03,4.641588833612782e-08,17730.0,5.588593685825785e-09,6.952562323423753e-11,4.341880690916765e-09,2.4777938896960224e-09,2.7836589585812815e-08,1.1690098546444768e-08
W03,4.641588833612782e-08,17820.0,5.591712105121417e-09,6.947378415026883e-11,4.338814110705103e-09,2.474555408395611e-09,2.780003765595938e-08,1.1733007376894245e-08
W03,4.641588833612782e-08,17910.0,5.5948312596242015e-09,6.94219745942156e-11,4.3357467657583724e-09,2.4713214176971397e-09,2.7763538050399643e-08,1.1775860127655238e-08
W03,4.641588833612782e-08,18000.0,5.5979511043878565e-09,6.937019413097055e-11,4.332678701457961e-09,2.4680919114853785e-09,2.772709065254221e-08,1.181865687648809e-08
W03,4.641588833612782e-08,18090.0,5.6010715955746686e-09,6.931844233799075e-11,4.329609962064129e-09,2.4648668836419953e-09,2.769069534701449e-08,1.1861397701046002e-08
W03,4.641588833612782e-08,18180.0,5.6041926925482155e-09,6.926671883291613e-11,4.326540588595656e-09,2.461646328013157e-09,2.76543520217714e-08,1.1904082678891484e-08
W03,4.641588833612782e-08,18270.0,5.607314355344935e-09,6.921502324031116e-11,4.323470621391542e-09,2.458430238448471e-09,2.761806056554735e-08,1.1946711887476932e-08
W03,4.641588833612782e-08,18360.0,5.6104365426263595e-09,6.916335516473845e-11,4.32040010218569e-09,2.4552186088325027e-09,2.7581820865792703e-08,1.1989285404128979e-08
W03,4.641588833612782e-08,18450.0,5.613559215424043e-09,6.911171424014267e-11,4.3173290703126025e-09,2.4520114330268806e-09,2.754563281244728e-08,1.2031803306077706e-08
W03,4.641588833612782e-08,18540.0,5.616682335743575e-09,6.90601001115103e-11,4.314257564121703e-09,2.448808704891747e-09,2.7509496296533593e-08,1.2074265670446059e-08
W03,4.641588833612782e-08,18630.0,5.619805866516594e-09,6.900851243428769e-11,4.311185621025906e-09,2.4456104182864155e-09,2.7473411210108345e-08,1.211667257424966e-08
W03,4.641588833612782e-08,18720.0,5.6229297720852575e-09,6.895695088027717e-11,4.308113277011254e-09,2.442416567062768e-09,2.7437377446749648e-08,1.2159024094400663e-08
W03,4.641588833612782e-08,18810.0,5.6260540208403995e-09,6.890541516973832e-11,4.305040563966649e-09,2.4392271450293435e-09,2.7401394904211008e-08,1.2201320307727868e-08
W03,4.641588833612782e-08,18900.0,5.629178576938732e-09,6.885390497060986e-11,4.301967518067447e-09,2.4360421460640783e-09,2.7365463476088076e-08,1.2243561290914398e-08
