permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,30.700000000000003,4338871.353244945,134068.29236486592,649016.0788147973,216915.6288199106,88702.77015706625,216915.6288199106,728634.9289628527,542683.9054740958,2062052.2546137548,309307.83819206315
High permeability,30.8,4335702.181065065,134152.78911029446,648940.359972673,216906.8509166064,88758.49150904742,216906.8509166064,731832.8765361804,542988.2817628959,2072908.9835887707,310936.3475383156
High permeability,30.900000000000002,4332533.225668133,134237.36913920208,648864.8025398552,216897.82832051654,88813.3613681513,216897.82832051654,735031.5421029158,543288.575744309,2083771.7593399081,312565.7639009862
High permeability,31.0,4329364.491121506,134322.0328157399,648789.4016300462,216888.56555378786,88867.3877288001,216888.56555378786,738230.9139654319,543584.8351011787,2094640.4997233471,314196.074958502
High permeability,31.1,4326195.981281925,134406.78049203497,648714.152639243,216879.0668682958,88920.57838923112,216879.0668682958,741430.9808208769,543877.1058013929,2105515.125459431,315827.26881891466
High permeability,31.200000000000003,4323027.699984547,134491.61251897895,648639.0509923766,216869.33648821828,88972.94112738715,216869.33648821828,744631.7314070434,544165.4336367111,2116395.5575630064,317459.33363445086
High permeability,31.3,4319859.651037495,134576.52924592196,648564.0921506383,216859.37860301364,89024.4836942998,216859.37860301364,747833.1545141254,544449.864171065,2127281.717429264,319092.2576143895
High permeability,31.400000000000002,4316691.838223444,134661.53102079922,648489.2716092755,216849.19736949922,89075.21382219107,216849.19736949922,751035.2389751623,544730.4427770887,2138173.5267687435,320726.02901531145
High permeability,31.5,4313524.265186025,134746.61818367545,648414.5850500291,216838.79676586928,89125.13910834388,216838.79676586928,754237.9738893049,545007.2136627283,2149070.909230206,322360.6363845308
High permeability,31.6,4310356.935474762,134831.79106925294,648340.0282808983,216828.18064942263,89174.26705516544,216828.18064942263,757441.3485393246,545280.2202371496,2159973.789795573,323996.06846933585
High permeability,31.700000000000003,4307189.852639178,134917.050012234,648265.5971098819,216817.352877458,89222.60516506298,216817.352877458,760645.352207992,545549.5059095182,2170882.0934467646,325632.3140170146
High permeability,31.8,4304023.020165507,135002.39534373552,648191.2874299359,216806.3172259025,89270.1608748775,216806.3172259025,763849.9743033499,545815.1135416671,2181795.7460772977,327269.3619115946
High permeability,31.900000000000002,4300856.441528367,135087.82739427744,648117.0951495153,216795.07745578105,89316.94161694057,216795.07745578105,767055.2042489685,546077.0859190283,2192714.6737011247,328907.20105516864
High permeability,32.0,4297690.120024237,135173.34648428526,648043.0164163131,216783.63709897545,89362.95463204091,216783.63709897545,770261.031828006,546335.4642575267,2203638.804947513,330545.82074212696
High permeability,32.1,4294524.058941896,135258.9529337471,647969.0473883619,216771.99967746486,89408.2071526495,216771.99967746486,773467.4468392007,546590.2897052143,2214568.068558934,332185.2102838401
