total_BiTE_nM,KD_CD3_nM,KD_TAA_nM,free_CD3_nM,free_TAA_nM,free_BiTE_nM,CD3_BiTE_nM,TAA_BiTE_nM,trimer_nM,trimer_complexes_per_target,max_mass_balance_error_nM
0.01,10.0,0.1,8.298160366123701,16.595450568295306,3.273364939673227e-05,2.716290720625527e-05,0.005432296604833797,0.004507806838326017,2.7146647299289834,2.371974144876887e-13
0.012115276586285877,10.0,0.1,8.297201441588637,16.593347970627928,3.966479532209247e-05,3.291067969267838e-05,0.006581717509632152,0.0054609836009049065,3.288681193270101,7.340465041361099e-13
0.01467799267622069,10.0,0.1,8.296039840305074,16.590800619679275,4.806538219824154e-05,3.987523256561021e-05,0.007974431727597068,0.006615620331593811,3.9840196851575804,2.2659582543660406e-12
0.01778279410038923,10.0,0.1,8.294632766456152,16.587714439835803,5.824778890708115e-05,4.831440184422964e-05,0.009661976891424976,0.008014255011235578,4.826297176419604,6.97736313171049e-12
0.021544346900318822,10.0,0.1,8.292928407226238,16.583975456812453,7.059119864933083e-05,5.854077565791862e-05,0.011706827058674749,0.009708387867336863,5.84652782897788,3.8163916471489756e-17
0.026101572156825358,10.0,0.1,8.29086404208568,16.57944558902859,8.55560713760168e-05,7.093337557535336e-05,0.014184722301897169,0.011760360407977006,7.082254576516855,1.7763568394002505e-15
0.03162277660168379,10.0,0.1,8.288363759845653,16.573957548831824,0.00010370183879541529,8.595185625012761e-05,0.01718749873931014,0.014245624167329104,8.578915394971366,1.7763568394002505e-15
0.03831186849557285,10.0,0.1,8.285335704245457,16.56730866559958,0.00012570857894440366,0.00010415377774580263,0.020826528292858273,0.017255477846029686,10.391491646985237,5.30825383648903e-15
0.046415888336127774,10.0,0.1,8.281668753597943,16.559253402661014,0.0001524036248875872,0.00012621563381665926,0.02523690243997651,0.020900366637475312,12.586494982648421,2.828987044622977e-14
0.05623413251903491,10.0,0.1,8.277228522612834,16.549494292015723,0.00018479431700976214,0.0001529584791569961,0.030582524945500025,0.02531385477724113,15.244359664674453,1.27002575123214e-13
0.06812920690579609,10.0,0.1,8.271852554465822,16.537670952477868,0.00022410844407441178,0.0001853792005594284,0.0370623170577441,0.03065740220285228,18.46231914015105,5.658667978636345e-13
0.08254041852680181,10.0,0.1,8.26534454861885,16.523346786310583,0.00027184436356170297,0.00022468873284374824,0.044917786910339104,0.03712609851753945,22.357859114224993,2.5178054086083534e-12
0.1,10.0,0.1,8.257467445033816,16.50599286397222,0.00032983338977137053,0.0002723588478322242,0.0544422757786601,0.04495553198758388,27.072854156991273,3.847575036353135e-12
0.12115276586285877,10.0,0.1,8.24793515898006,16.48496840329301,0.0004003178502317852,0.00033017956716940546,0.06599227112345162,0.05442999732200611,32.77851054395438,3.552713678800501e-15
0.1467799267622069,10.0,0.1,8.2364027337757,16.459497124107592,0.00048604932906747645,0.00040032980226812075,0.08000127533960553,0.06589227229126696,39.68125387342573,1.7763568394002505e-15
0.1778279410038923,10.0,0.1,8.222454654308379,16.42863860845938,0.0005904131716758268,0.0004854645531410874,0.09699684627136443,0.0797552170077215,48.02971431648449,1.0547118733938987e-14
0.21544346900318823,10.0,0.1,8.205591045454186,16.391253613236504,0.0007175875246577807,0.0005888229766661519,0.11762159106360286,0.09651546743835739,58.12297304309848,9.595102490322915e-14
0.2610157215682536,10.0,0.1,8.185211473661308,16.345962061465073,0.0008727483307134257,0.0007143629650174287,0.14265911103048629,0.11676949924290589,70.32023609154928,8.694156505839601e-13
0.31622776601683794,10.0,0.1,8.160596086622432,16.291092171714403,0.0010623362674013542,0.0008669297186432572,0.173066180495905,0.14123231952815737,85.05209080598605,6.7309491313949366e-12
0.3831186849557285,10.0,0.1,8.130883880871513,16.224618863534705,0.001294408351731992,0.0010524684002363117,0.21001282160627743,0.17075898659748256,102.83346533249934,1.7763568394002505e-15
0.46415888336127775,10.0,0.1,8.095048003770248,16.14408919009377,0.0015791070109287735,0.0012782947056558572,0.2549324442513649,0.20636903739332818,124.27833916883257,5.551115123125783e-17
